date,open,high,low,close,volume
2026-01-02,3.80,3.84,3.78,3.82,1250000
2026-01-05,3.82,3.85,3.80,3.84,1320000
2026-01-06,3.84,3.86,3.81,3.83,1280000
2026-01-07,3.83,3.87,3.82,3.86,1410000
2026-01-08,3.86,3.89,3.84,3.88,1490000
2026-01-09,3.88,3.90,3.85,3.86,1370000
2026-01-12,3.86,3.91,3.85,3.90,1580000
2026-01-13,3.90,3.92,3.87,3.89,1440000
2026-01-14,3.89,3.93,3.88,3.92,1510000
2026-01-15,3.92,3.95,3.90,3.94,1620000
2026-01-16,3.94,3.96,3.91,3.93,1460000
2026-01-19,3.93,3.97,3.92,3.95,1550000
2026-01-20,3.95,3.98,3.93,3.97,1680000
2026-01-21,3.97,4.00,3.95,3.99,1710000
2026-01-22,3.99,4.01,3.96,3.98,1600000
2026-01-23,3.98,4.02,3.97,4.00,1660000
2026-01-26,4.00,4.03,3.98,4.02,1730000
2026-01-27,4.02,4.04,3.99,4.01,1690000
2026-01-28,4.01,4.05,4.00,4.04,1760000
2026-01-29,4.04,4.06,4.01,4.05,1810000
2026-01-30,4.05,4.07,4.02,4.03,1720000
2026-02-02,4.03,4.05,3.99,4.00,1680000
2026-02-03,4.00,4.02,3.96,3.98,1740000
2026-02-04,3.98,4.01,3.95,3.97,1620000
2026-02-05,3.97,3.99,3.93,3.95,1590000
2026-02-06,3.95,3.98,3.92,3.96,1530000
2026-02-09,3.96,4.00,3.94,3.99,1610000
2026-02-10,3.99,4.03,3.98,4.02,1700000
2026-02-11,4.02,4.04,3.99,4.01,1660000
2026-02-12,4.01,4.05,4.00,4.04,1750000
