date,close,signal,position,cash,shares,equity,holding_days,executed_action,blocked_reason,daily_return,cum_return,rolling_max,drawdown,benchmark_return,excess_return
2012-05-28,2.604,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,0.0,0.0
2012-05-29,2.644,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,0.015360983102918668,-0.015360983102918668
2012-05-30,2.636,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,0.01228878648233489,-0.01228878648233489
2012-05-31,2.63,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,0.009984639016896946,-0.009984639016896946
2012-06-01,2.63,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,0.009984639016896946,-0.009984639016896946
2012-06-04,2.558,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.017665130568356502,0.017665130568356502
2012-06-05,2.561,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.01651305683563753,0.01651305683563753
2012-06-06,2.559,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.017281105990783363,0.017281105990783363
2012-06-07,2.543,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.023425499231950808,0.023425499231950808
2012-06-08,2.534,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.026881720430107614,0.026881720430107614
2012-06-11,2.564,-1,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.015360983102918557,0.015360983102918557
2012-06-12,2.548,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.021505376344086002,0.021505376344086002
2012-06-13,2.585,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.007296466973886417,0.007296466973886417
2012-06-14,2.574,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.011520737327189057,0.011520737327189057
2012-06-15,2.584,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.007680491551459334,0.007680491551459334
2012-06-18,2.592,0,0,100000.0,0.0,100000.0,0,hold,,0.0,0.0,100000.0,0.0,-0.004608294930875556,0.004608294930875556
