date,open,high,low,close,volume,amount,ma_short,ma_long,trend_ma,returns,volatility,signal
2012-05-28,2.551,2.607,2.544,2.604,1277518720,3285755392,2.604,2.604,2.604,0.0,0.0,0
2012-05-29,2.602,2.661,2.602,2.644,714948992,1875593344,2.624,2.624,2.624,0.015360983102918668,0.010861855317765765,0
2012-05-30,2.642,2.647,2.633,2.636,265887200,701725760,2.628,2.628,2.628,-0.00302571860816947,0.009858884105182385,0
2012-05-31,2.621,2.645,2.613,2.63,178155984,468193088,2.6285,2.6285,2.6285,-0.0022761760242793194,0.008660243204115669,0
2012-06-01,2.629,2.66,2.62,2.63,179350032,473477184,2.6288,2.6288,2.6288,0.0,0.007583843024913752,0
2012-06-04,2.601,2.604,2.555,2.558,546074240,1413413504,2.617,2.617,2.617,-0.027376425855513364,0.013782472559126171,0
2012-06-05,2.562,2.572,2.556,2.561,127167496,326150592,2.6089999999999995,2.6089999999999995,2.6089999999999995,0.0011727912431587217,0.0126748089299697,0
2012-06-06,2.563,2.574,2.548,2.559,136922720,350839424,2.60275,2.60275,2.60275,-0.0007809449433814342,0.01174697972212946,0
2012-06-07,2.578,2.583,2.536,2.543,336424032,860028352,2.5961111111111115,2.5961111111111115,2.5961111111111115,-0.006252442360296984,0.011074475503791288,0
2012-06-08,2.558,2.56,2.53,2.534,210182208,534630016,2.5899,2.5899,2.5899,-0.0035391270153363186,0.010445563027944804,0
2012-06-11,2.543,2.577,2.536,2.564,225455584,576327104,2.5859,2.5875454545454546,2.5875454545454546,0.011838989739542338,0.010832389072481421,-1
2012-06-12,2.55,2.562,2.538,2.548,157723728,401878816,2.5763,2.58425,2.58425,-0.006240249609984372,0.010424208363884661,0
2012-06-13,2.56,2.588,2.55,2.585,188133568,483872800,2.5712,2.5843076923076924,2.5843076923076924,0.014521193092621676,0.010954404760480126,0
2012-06-14,2.58,2.598,2.571,2.574,152554656,394044032,2.5656,2.5835714285714286,2.5835714285714286,-0.004255319148936176,0.01057220905347926,0
2012-06-15,2.582,2.594,2.557,2.584,159835264,411542176,2.561,2.5835999999999997,2.5835999999999997,0.0038850038850040125,0.01025844705142255,0
2012-06-18,2.589,2.608,2.588,2.592,132126536,342959072,2.5644,2.5841250000000002,2.5841250000000002,0.003095975232198178,0.009950493955888796,0
2012-06-19,2.59,2.59,2.572,2.573,105011688,270933120,2.5656,2.583470588235294,2.583470588235294,-0.007330246913580307,0.009786703840835444,0
2012-06-20,2.58,2.587,2.57,2.57,119277368,307520544,2.5667,2.582722222222222,2.582722222222222,-0.0011659541391372263,0.009495249431743064,0
2012-06-21,2.563,2.564,2.517,2.53,179224176,453655584,2.5654,2.5799473684210525,2.5799473684210525,-0.015564202334630406,0.009838686336580697,0
2012-06-25,2.527,2.527,2.476,2.48,231481104,579443712,2.5599999999999996,2.5749500000000003,2.5749500000000003,-0.019762845849802257,0.010413273047811521,0
2012-06-26,2.472,2.485,2.462,2.48,185228896,458451968,2.5515999999999996,2.5704285714285713,2.5704285714285713,0.0,0.010413273047811521,0
2012-06-27,2.478,2.493,2.47,2.471,151365792,375457760,2.5439,2.565909090909091,2.565909090909091,-0.003629032258064435,0.009539103883094676,0
2012-06-28,2.48,2.486,2.455,2.457,169573952,418670240,2.5311,2.5611739130434783,2.5611739130434783,-0.0056657223796034994,0.00955286597002841,0
2012-06-29,2.451,2.488,2.448,2.485,197204208,486289920,2.5222,2.558,2.558,0.01139601139601143,0.01011515657302706,0
2012-07-02,2.495,2.495,2.476,2.485,186222256,463059456,2.5122999999999998,2.5550800000000002,2.5550800000000002,0.0,0.01011515657302706,0
2012-07-03,2.488,2.516,2.482,2.489,146903104,367051136,2.502,2.5525384615384614,2.5525384615384614,0.0016096579476860828,0.008323837214416173,0
2012-07-04,2.494,2.504,2.484,2.489,110336408,275036928,2.4936,2.5501851851851853,2.5501851851851853,0.0,0.008309371445636073,0
2012-07-05,2.479,2.479,2.452,2.461,208773904,513592288,2.4827,2.547,2.547,-0.011249497790277285,0.008593711122534122,0
2012-07-06,2.466,2.512,2.452,2.501,175797824,436554816,2.4798,2.545413793103448,2.545413793103448,0.016253555465258085,0.009428847461733305,0
2012-07-09,2.489,2.499,2.448,2.451,164864336,408098784,2.4768999999999997,2.542266666666667,2.542266666666667,-0.01999200319872041,0.010353696304999143,0
2012-07-10,2.449,2.453,2.438,2.441,204195968,499158624,2.473,2.5368333333333335,2.539,-0.004079967360261172,0.009865541344954758,0
2012-07-11,2.438,2.458,2.435,2.452,169297648,414092864,2.4711,2.5304333333333333,2.53628125,0.004506349856616243,0.009938260739593509,0
2012-07-12,2.446,2.487,2.437,2.474,266044448,655043264,2.4728,2.5250333333333335,2.5343939393939396,0.00897226753670477,0.009525424490723397,0
2012-07-13,2.473,2.496,2.471,2.478,177890448,441479104,2.4721,2.519966666666667,2.532735294117647,0.0016168148746968924,0.009547550911693342,0
2012-07-16,2.481,2.482,2.437,2.438,227361104,556372736,2.4674,2.5135666666666667,2.5300285714285713,-0.016142050040355183,0.009955345475481664,0
2012-07-17,2.437,2.449,2.431,2.443,258532832,630134272,2.4628,2.5097333333333336,2.5276111111111113,0.002050861361771794,0.00992515330697501,0
2012-07-18,2.441,2.451,2.406,2.443,315295936,766719552,2.4582,2.5058,2.525324324324324,0.0,0.009888563294656675,0
2012-07-19,2.441,2.473,2.437,2.451,338043968,830268800,2.4572,2.5022,2.523368421052632,0.0032746623004502595,0.00997060589783303,0
2012-07-20,2.445,2.451,2.427,2.433,270297792,659710336,2.4503999999999997,2.4985333333333335,2.521051282051282,-0.007343941248470154,0.009556764863868044,0
2012-07-23,2.411,2.411,2.392,2.403,185688544,445845216,2.4455999999999998,2.4941666666666666,2.5181,-0.012330456226880337,0.008951306528090813,0
2012-07-24,2.397,2.423,2.395,2.408,230423664,554385088,2.4423,2.488966666666667,2.5154146341463415,0.0020807324178109265,0.008982156662545513,0
2012-07-25,2.4,2.414,2.39,2.393,138906720,333627584,2.4364,2.4838000000000005,2.5125,-0.006229235880398698,0.00903427345037983,0
2012-07-26,2.395,2.407,2.38,2.382,254896000,610152256,2.4272,2.477033333333333,2.5094651162790695,-0.004596740493104767,0.009011861282414211,0
2012-07-27,2.389,2.396,2.377,2.385,372468544,888581760,2.4179,2.4707333333333334,2.5066363636363636,0.0012594458438286438,0.00851940019509292,0
2012-07-30,2.389,2.399,2.372,2.377,230320624,549167616,2.4118000000000004,2.463833333333333,2.5037555555555553,-0.0033542976939203717,0.008510615900816742,0
2012-07-31,2.378,2.385,2.366,2.371,421498368,1001090752,2.4046,2.456466666666666,2.5008695652173913,-0.0025241901556583013,0.008463683435766183,0
2012-08-01,2.372,2.401,2.372,2.389,261555584,624664256,2.3992,2.4503333333333335,2.4984893617021275,0.007591733445803328,0.008742235689910347,0
2012-08-02,2.386,2.389,2.359,2.371,208725824,495894112,2.3912,2.4436999999999998,2.495833333333333,-0.007534533277521849,0.008573467242617969,0
2012-08-03,2.375,2.386,2.368,2.385,173736640,412710944,2.3864,2.4388666666666667,2.4935714285714288,0.00590468156895807,0.00769182613216172,0
2012-08-06,2.383,2.42,2.382,2.416,314425728,755432640,2.3876999999999997,2.4367333333333336,2.49202,0.012997903563941371,0.0072314789038442654,0
2012-08-07,2.415,2.421,2.412,2.419,258440368,624693696,2.3888000000000003,2.4347,2.4905882352941178,0.0012417218543046005,0.00719816372574272,0
2012-08-08,2.423,2.436,2.416,2.421,232950208,564756032,2.3916,2.4330333333333334,2.48925,0.0008267879288961222,0.0071119174307324815,0
2012-08-09,2.422,2.448,2.412,2.445,201000368,488752032,2.3979,2.4326333333333334,2.4884150943396226,0.00991325898389106,0.007181432332320699,0
