date,action,price,shares,commission
2012-06-04,buy,2.558,39081.31704351088,29.991002699190243
2012-06-05,sell,2.561,39081.31704351088,30.026175884529405
2012-08-09,buy,2.445,40910.927855609305,30.008165582089422
2012-08-16,sell,2.359,40910.927855609305,28.952663643414702
2012-09-11,buy,2.347,41095.437090108135,28.935297255145137
2012-09-20,sell,2.229,41095.437090108135,27.480518782155308
2012-10-09,buy,2.356,38856.86957540449,27.46403541589589
2012-10-29,sell,2.265,38856.86957540449,26.40324287648735
2012-11-07,buy,2.322,37880.283781107995,26.387405681919827
2012-11-08,sell,2.28,37880.283781107995,25.910114106277867
2012-12-07,buy,2.28,37857.562427245495,25.894572700235916
2013-02-22,sell,2.592,37857.562427245495,29.438040543426098
2013-03-25,buy,2.611,37559.53404360802,29.420383016358162
2013-03-28,sell,2.494,37559.53404360802,28.102043371427524
2013-04-24,buy,2.494,37537.005081870375,28.085187202255415
2013-04-26,sell,2.445,37537.005081870375,27.533393227551915
2013-05-07,buy,2.526,36311.530939746386,27.516878146139806
2013-06-06,sell,2.54,36311.530939746386,27.669386576086744
2013-07-15,buy,2.345,39307.44836266805,27.652789923136975
2013-07-25,sell,2.286,39307.44836266805,26.957048087117748
2013-07-26,buy,2.265,39648.09228709181,26.940878709078884
2013-07-29,sell,2.221,39648.09228709181,26.41752389088927
2013-08-06,buy,2.342,37577.11091699818,26.40167813028292
2013-09-30,sell,2.467,37577.11091699818,27.810819789670354
2013-10-11,buy,2.523,36721.0177067549,27.794138302242786
2013-10-18,sell,2.476,36721.0177067549,27.27637195257754
2013-11-20,buy,2.477,36684.17580094262,27.260011037680457
2013-12-16,sell,2.42,36684.17580094262,26.632711631484337
2014-02-12,buy,2.284,38845.20840186196,26.61673679695581
2014-02-25,sell,2.151,38845.20840186196,25.066812981721515
2014-03-26,buy,2.166,38553.058486619906,25.051777404605613
2014-04-23,sell,2.184,38553.058486619906,25.25996392043336
2014-05-28,buy,2.169,38796.39232751035,25.244812487510984
2014-06-06,sell,2.135,38796.39232751035,24.849089285770376
2014-06-11,buy,2.158,38359.87689788931,24.83418430369354
2014-06-23,sell,2.14,38359.87689788931,24.627040968444938
2014-06-27,buy,2.165,37894.17886897889,24.612269175401785
2014-08-26,sell,2.372,37894.17886897889,26.96549768316537
2014-09-03,buy,2.453,36620.90397729223,26.949323236889352
2014-10-22,sell,2.461,36620.90397729223,27.03721340643485
2014-11-03,buy,2.549,35335.420352595575,27.020995943629835
2015-01-20,sell,3.382,35335.420352595575,35.851317489743465
2015-01-27,buy,3.558,33567.37226021302,35.829813150551374
2015-01-28,sell,3.501,33567.37226021302,35.25581108490174
2015-02-17,buy,3.517,33394.62036052843,35.234663942393546
2015-05-08,sell,4.526,33394.62036052843,45.3432155255255
2015-05-14,buy,4.674,32317.798998389088,45.31601775554118
2015-05-18,sell,4.554,32317.798998389088,44.15257699159917
2015-05-21,buy,4.83,30452.790469623567,44.12609339048455
2015-06-18,sell,4.909,30452.790469623567,44.84782452461462
2015-07-22,buy,4.194,35623.05189960834,44.82092390008721
2015-07-29,sell,3.988,35623.05189960834,42.61941929269141
2015-08-13,buy,4.112,34528.0928261272,42.59385531031051
2015-08-20,sell,3.815,34528.0928261272,39.51740223950258
2015-09-22,buy,3.365,39122.03953358889,39.493698909157985
2015-09-24,sell,3.315,39122.03953358889,38.906868316154146
2015-10-12,buy,3.52,36821.52575407236,38.88353119630041
2015-11-27,sell,3.608,36821.52575407236,39.85561947620792
2015-12-17,buy,3.808,34866.695795152445,39.83171327638215
2016-01-04,sell,3.535,34866.695795152445,36.976130890759165
2016-02-19,buy,3.041,40506.35960312634,36.953951865932154
2016-03-01,sell,2.918,40506.35960312634,35.45926719657679
2016-03-07,buy,3.103,38068.53369536225,35.43799801701272
2016-04-21,sell,3.151,38068.53369536225,35.98618490222592
2016-06-01,buy,3.156,37985.42423622222,35.96459966685519
2016-06-17,sell,3.117,37985.42423622222,35.5201702032914
2016-06-30,buy,3.161,37434.21332160978,35.49886449288255
2016-07-29,sell,3.254,37434.21332160978,36.54327904455546
2016-08-10,buy,3.294,36957.45765325462,36.52135965294622
2016-09-02,sell,3.368,36957.45765325462,37.341815212848466
2016-09-09,buy,3.384,36760.65488892006,37.319416843231636
